YYYY-MM,nCommits,nAuthors,timestamp
2005-10,35,5,1128124800
2005-11,18,3,1130803200
2005-12,6,2,1133395200
2006-01,20,2,1136073600
2006-02,18,3,1138752000
2006-03,32,3,1141171200
2006-04,18,4,1143849600
2006-05,18,3,1146441600
2006-06,20,3,1149120000
2006-07,36,6,1151712000
2006-08,64,5,1154390400
2006-09,34,5,1157068800
2006-10,88,6,1159660800
2006-11,40,5,1162339200
2006-12,68,7,1164931200
2007-01,92,7,1167609600
2007-02,152,8,1170288000
2007-03,130,9,1172707200
2007-04,54,7,1175385600
2007-05,116,10,1177977600
2007-06,58,5,1180656000
2007-07,80,9,1183248000
2007-08,34,9,1185926400
2007-09,54,10,1188604800
2007-10,52,8,1191196800
2007-11,14,5,1193875200
2007-12,32,5,1196467200
2008-01,30,5,1199145600
2008-02,112,12,1201824000
2008-03,40,9,1204329600
2008-04,26,4,1207008000
2008-05,8,2,1209600000
2008-06,22,4,1212278400
2008-07,60,5,1214870400
2008-08,32,3,1217548800
2008-09,26,5,1220227200
2008-10,44,4,1222819200
2008-11,96,8,1225497600
2008-12,106,10,1228089600
2009-01,50,7,1230768000
2009-02,46,6,1233446400
2009-03,28,7,1235865600
2009-04,22,6,1238544000
2009-05,60,5,1241136000
2009-06,44,7,1243814400
2009-07,26,3,1246406400
2009-08,30,4,1249084800
2009-09,86,8,1251763200
2009-10,112,8,1254355200
2009-11,108,9,1257033600
2009-12,90,9,1259625600
2010-01,78,7,1262304000
2010-02,88,8,1264982400
2010-03,36,5,1267401600
2010-04,24,4,1270080000
2010-05,40,6,1272672000
2010-06,62,8,1275350400
2010-07,70,5,1277942400
2010-08,108,9,1280620800
2010-09,74,6,1283299200
2010-10,94,10,1285891200
2010-11,60,7,1288569600
2010-12,42,6,1291161600
2011-01,182,6,1293840000
2011-02,140,9,1296518400
2011-03,42,6,1298937600
2011-04,10,2,1301616000
2011-05,50,6,1304208000
2011-06,94,6,1306886400
2011-07,90,10,1309478400
2011-08,208,11,1312156800
2011-09,226,12,1314835200
2011-10,90,8,1317427200
2011-11,48,4,1320105600
2011-12,20,3,1322697600
2012-01,16,2,1325376000
2012-02,170,8,1328054400
2012-03,220,8,1330560000
2012-04,238,7,1333238400
2012-05,112,7,1335830400
2012-06,254,10,1338508800
2012-07,120,6,1341100800
2012-08,132,4,1343779200
2012-09,22,5,1346457600
2012-10,40,8,1349049600
2012-11,150,9,1351728000
2012-12,158,10,1354320000
2013-01,126,8,1356998400
2013-02,170,11,1359676800
2013-03,282,11,1362096000
2013-04,98,11,1364774400
2013-05,186,10,1367366400
2013-06,320,14,1370044800
2013-07,212,9,1372636800
2013-08,66,7,1375315200
2013-09,160,15,1377993600
2013-10,364,16,1380585600
2013-11,352,19,1383264000
2013-12,210,11,1385856000
2014-01,262,12,1388534400
2014-02,96,7,1391212800
2014-03,256,14,1393632000
2014-04,368,13,1396310400
2014-05,114,9,1398902400
2014-06,40,5,1401580800
2014-07,48,5,1404172800
2014-08,122,10,1406851200
2014-09,136,6,1409529600
2014-10,22,5,1412121600
2014-11,98,6,1414800000
2014-12,278,15,1417392000
2015-01,96,7,1420070400
2015-02,204,9,1422748800
2015-03,114,4,1425168000
2015-04,10,3,1427846400
2015-05,18,3,1430438400
2015-06,18,5,1433116800
2015-07,136,6,1435708800
2015-08,86,5,1438387200
